"NGAsubRSN","NGAsubEQID","NGAsubSSN"
2000747,2000015,2000251
2000749,2000015,2000127
2000751,2000015,2000503
2000753,2000015,2000540
2000754,2000015,2000254
2000755,2000015,2000477
2000756,2000015,2000506
2000757,2000015,2000507
2000758,2000016,2000196
2000773,2000016,2000271
2000793,2000016,2000553
2000794,2000016,2000554
2000795,2000016,2000555
2000796,2000016,2000556
2000797,2000016,2000557
2000798,2000016,2000558
2000799,2000016,2000559
2000800,2000016,2000560
2000802,2000016,2000561
2000803,2000016,2000562
2000804,2000016,2000563
2000805,2000016,2000564
2000806,2000016,2000565
2000807,2000016,2000566
2000808,2000016,2000567
2000809,2000016,2000568
2000810,2000016,2000569
2000811,2000016,2000570
2000812,2000016,2000571
2000813,2000016,2000572
2000814,2000016,2000573
2000815,2000016,2000574
2000817,2000016,2000576
2000818,2000016,2000577
2000821,2000016,2000421
2000829,2000016,2000470
2000834,2000016,2000184
2000842,2000016,2000230
2000844,2000016,2000583
2000846,2000016,2000186
2000887,2000014,2000592
2000889,2000014,2000594
2000890,2000014,2000588
2000891,2000014,2000587
2000893,2000014,2000595
2000899,2000014,2000601
2000900,2000014,2000602
2000901,2000014,2000603
2000902,2000014,2000604
2000903,2000014,2000605
2000904,2000014,2000606
2000905,2000014,2000607
2000942,2000014,2000556
2000965,2000014,2000563
2000966,2000014,2000564
2000975,2000014,2000566
2000976,2000014,2000567
2000985,2000014,2000569
2000997,2000014,2000573
2001055,2000020,2000196
2001094,2000008,2000767
2001100,2000008,2000772
2001136,2000010,2000767
2001143,2000010,2000773
2001144,2000010,2000789
2001145,2000010,2000790
2001164,2000013,2000793
2001171,2000013,2000742
2001177,2000013,2000798
2001180,2000013,2000800
2001184,2000013,2000736
2001185,2000013,2000783
2001186,2000013,2000749
2001187,2000013,2000750
2001188,2000013,2000801
2001195,2000013,2000755
2001197,2000013,2000806
2001201,2000013,2000809
2001202,2000013,2000762
2001203,2000013,2000810
2001204,2000013,2000772
2001205,2000013,2000785
2001207,2000013,2000773
2001217,2000013,2000786
2001218,2000013,2000787
2001222,2000014,2000196
2001229,2000014,2000738
2001246,2000014,2000800
2001250,2000014,2000736
2001253,2000014,2000749
2001254,2000014,2000801
2001262,2000014,2000806
2001271,2000014,2000809
2001274,2000014,2000762
2001278,2000014,2000810
2001281,2000014,2000772
2001286,2000014,2000785
2001287,2000014,2000829
